"Comment","Designator","Footprint","JLCPCB Part #"
"0.5A PTC 1206","F1","Fuse_1206_3216Metric","C106264"
"FH41-40S-0.5SH(05)","J1","FPC-SMD_FH41-40S-0.5SH","C596805"
