Designator,Mid X,Mid Y,Layer,Rotation
C1,114.200000,-33.000000,Top,0.000000
C2,114.200000,-36.200000,Top,0.000000
C3,114.200000,-39.400000,Top,0.000000
C4,112.500000,-42.200000,Top,0.000000
C5,116.000000,-42.200000,Top,0.000000
C6,119.500000,-42.200000,Top,0.000000
C7,100.500000,-42.000000,Top,-90.000000
C8,106.500000,-45.000000,Top,0.000000
FL1,128.600000,-43.500000,Top,0.000000
FL2,125.800000,-43.500000,Top,0.000000
IC1,123.500000,-36.300000,Top,-90.000000
J2,123.500000,-47.000000,Top,0.000000
JBL1,142.000000,-44.000000,Top,0.000000
JFFC1,123.500000,-25.600000,Top,0.000000
R1,99.500000,-34.000000,Top,-90.000000
R2,99.500000,-37.500000,Top,-90.000000
RN1,100.000000,-29.000000,Top,0.000000
RN2,104.000000,-29.000000,Top,0.000000
RN3,108.000000,-29.000000,Top,0.000000
RN4,139.000000,-29.000000,Top,0.000000
RN5,143.000000,-29.000000,Top,0.000000
RN6,147.000000,-29.000000,Top,0.000000
U1,106.000000,-38.000000,Top,-90.000000
